DateTime,AddedIPs,RemovedIPs
1591866975,15,19
1591868887,17,7
1591870821,11,11
1591872747,21,20
1591874650,17,15
1591876588,17,19
1591878491,12,31
1591880516,12,20
1591882333,670,13
1591884252,16,15
1591886187,17,18
1591888245,18,17
1591890251,17,20
1591892181,628,6
1591894106,96,11
1591896010,693,9
1591898009,386,9
1591899855,448,14
1591901789,1828,13
1591903712,1150,7
1591906581,978,14
1591908499,524,13
1591910427,500,12
1591912332,763,11
1591914263,279,6
1591916219,500,12
1591918092,56,10
1591920080,144,8
1591921931,9,52
1591923924,14,15
1591925785,11,11
1591927693,9,9
1591929616,15,10
1591931544,7,6
1591933463,13,4
1591935398,11,4
1591937308,8,446
1591939209,9,1618
1591941132,15,1773
1591943068,60,1299
1591944975,713,1388
1591946892,12,65
1591949774,17,178
1591951706,40,13
1591953650,6,9
1591955545,19,12
1591957465,14,6
1591959391,11,13
1591961289,15,19
1591964175,21,19
1591966106,12,8
1591968041,13,406
1591969940,15,314
1591971867,4,14
1591973772,10,10
1591975705,7,7
1591977645,12,9
1591979597,15,201
1591981490,17,1014
1591983375,14,627
1591985306,17,329
1591987218,12,1249
1591989131,8,2708
1591991109,14,2185
1591992978,13,1340
1591994893,15,1376
1591996869,20,1246
1591998733,18,1646
1592000656,27,912
1592002583,12,1347
1592004491,10,174
1592006490,17,179
1592008345,20,21
1592010499,27,25
1592012409,19,27
1592014344,18,25
1592016253,20,24
1592018196,17,20
1592020095,16,22
1592022011,16,21
1592023945,17,21
1592025864,15,22
1592027784,17,23
1592029692,15,149
1592031736,123,749
1592033568,21,13
1592035481,29,22
1592037372,22,15
1592039319,21,13
1592041210,14,21
1592043136,22,21
1592045067,17,51
1592046980,22,25
1592048894,22,15
1592050826,2184,19
1592052735,3151,21
1592054653,19,21
1592056585,24,17
1592058491,11,8
1592061406,29,22
1592063312,11,16
1592065220,13,23
1592067136,1563,21
1592069072,1179,20
1592070976,955,30
1592072893,1212,11
1592074921,1123,14
1592076738,13,11
1592078658,13,11
1592080585,15,17
1592082494,9,15
1592084416,16,20
1592086355,12,79
1592088256,18,16
1592090176,17,6
1592092112,14,12
1592094017,3,12
1592096123,22,19
1592098333,13,18
1592100280,11,15
1592102258,13,15
1592104094,17,13
1592106009,10,8
1592107945,13,11
1592109849,16,14
1592111775,10,9
1592113706,9,15
1592115612,15,9
1592117529,303,11
1592119471,12,14
1592121369,18,21
1592123291,19,15
1592125311,17,16
1592127131,10,5
1592130009,17,26
1592131937,13,19
1592133865,17,14
1592135769,12,18
1592137709,15,3855
1592139534,16,22
1592141549,14,20
1592143963,12,19
1592145856,8,11
1592147772,6,11
1592149749,3,6
1592151619,3,11
1592153537,11,1808
1592155473,8,1409
1592157400,17,1114
1592159291,21,1425
1592161472,23,1354
1592163384,27,22
1592165305,36,21
1592167213,22,19
1592169151,23,17
1592171053,31,21
1592172977,35,14
1592174907,23,19
1592176844,91,22
1592178735,15,19
1592180673,32,12
1592182571,41,22
1592184510,17,16
1592187386,490,21
1592189322,276,26
1592191212,17,12
1592193148,25,25
1592195055,17,18
1592196970,20,19
1592198908,21,13
1592200998,23,12
1592202979,39,183
1592204908,240,19
1592206814,59,23
1592208728,18,21
1592210693,16,27
1592212572,26,18
1592214501,40,14
1592216479,460,10
1592218336,183,18
1592220251,43,22
1592222193,58,15
1592224123,890,17
1592226182,1785,19
1592228171,1270,15
1592230117,1214,6
1592232013,1428,6
1592234571,808,12
1592236613,47,4
1592238494,37,4
1592240479,32,8
1592242355,20,10
1592244272,46,13
1592246171,42,18
1592248111,32,14
1592250010,28,24
1592252180,25,30
1592254096,26,17
1592256049,23,15
1592257939,16,27
1592259854,24,33
1592261792,14,80
1592263692,24,11
1592266574,30,33
1592268493,22,30
1592270556,27,20
1592272589,16,7
1592274496,16,17
1592276477,27,11
1592278351,22,16
1592280300,31,14
1592282176,35,16
1592284132,15,16
1592286008,14,19
1592287960,18,19
1592289851,17,23
1592291785,20,22
1592293709,11,19
1592295619,21,9
1592297551,13,19
1592299486,26,18
1592301373,20,28
1592303292,33,402
1592305339,258,58
1592307402,38,49
1592309290,21,51
1592311212,19,39
1592313149,24,38
1592315050,29,845
1592316968,28,282
1592318927,20,50
1592320809,21,42
1592322734,24,45
1592324671,25,40
1592326570,19,36
1592328489,23,26
1592331371,44,68
1592333290,34,44
1592335214,27,35
1592337129,28,25
1592339052,17,14
1592340989,28,24
1592342895,22,27
1592345791,45,31
1592347702,25,16
1592349629,14,17
1592351555,21,22
1592353482,20,25
1592355374,28,27
1592357323,17,21
1592359406,25,18
1592361396,19,16
1592363298,15,27
1592365212,29,24
1592367159,21,33
1592369064,23,30
1592371007,22,12
1592372938,31,22
1592374812,51,17
1592376758,53,429
1592378653,412,17
1592380582,61,16
1592382532,40,15
1592385639,78,30
1592387533,51,23
1592389456,57,31
1592391403,21,53
1592393293,50,222
1592396169,49,64
1592398117,46,11
1592400011,8,28
1592401954,12,32
1592403879,16,26
1592405792,27,20
1592407691,16,17
1592409702,16,26
1592411531,20,21
1592413460,18,23
1592415397,16,23
1592417299,19,41
1592419210,42,28
1592421179,27,26
1592423054,30,28
1592424970,33,15
1592426915,29,22
1592428812,22,22
1592430731,42,24
1592432650,38,31
1592434597,33,13
1592436493,30,30
1592439387,40,29
1592441536,20,24
1592443453,23,19
1592445408,27,16
1592447294,313,15
1592450172,928,29
1592452089,22,26
1592454028,22,14
1592455937,20,19
1592457855,12,23
1592459828,18,17
1592461692,13,15
1592463752,19,9
1592465607,11,365
1592467465,10,25
1592469389,21,19
1592471298,16,26
1592473215,20,29
1592475151,24,16
